frame_index,rmse,mae,l2_loss
0,0.46992032360970476,0.32010777791341144,0.10932482499863655
1,0.4695059551041448,0.32004966735839846,0.1092238669803506
2,0.4697076128800698,0.32024932437472875,0.10926610871089429
3,0.4706429245591699,0.32092709011501735,0.10947890395814602
4,0.4721164111102774,0.3220088111029731,0.10981681168199693
5,0.47364129162656476,0.32308002048068574,0.11016657143121333
6,0.4747619076807303,0.32389617496066625,0.11042226385746737
7,0.4752968468486199,0.32430608537462025,0.11054169939796919
8,0.4754134537066994,0.3242337968614366,0.11056382498971637
9,0.4753629223788365,0.32389500935872395,0.11054705941938242
10,0.47507295996285553,0.32345568339029945,0.1104746174841949
11,0.4744028543015818,0.32273195054796006,0.11031375575279241
12,0.473253378405824,0.32168191274007163,0.1100414346683186
13,0.4717083297678724,0.32046597798665366,0.10967712263134262
14,0.47021652825250654,0.3193137698703342,0.10932518323644448
15,0.4695042398405989,0.3185652838812934,0.10915444343084016
16,0.46971332040557245,0.3182760874430339,0.1091978868873577
17,0.4702092718910244,0.31818258497450086,0.109307952874511
18,0.47049079070006466,0.318242433336046,0.10936814183057197
19,0.4708085135160547,0.3184637281629774,0.10943670973122724
20,0.47159199765021603,0.3190258238050673,0.10961349855841841
21,0.4729175360359346,0.3198797861735026,0.10991626559704444
22,0.4747385833779924,0.3209410137600369,0.11033415436935826
23,0.4768869320593373,0.32196044921875,0.11082807740351913
24,0.47933638510972726,0.32306685977511934,0.11139194632778321
25,0.48215301476060574,0.32427633073594836,0.11204112590370424
26,0.4851811745056959,0.32559835645887586,0.1127394692920886
27,0.4881315308656456,0.32683675554063585,0.11341974284469084
28,0.4906337858737618,0.327936045328776,0.11399592448931992
29,0.49255155255888533,0.3288732952541775,0.11443638531116622
30,0.4939061429004418,0.3295546213785807,0.11474606413045962
31,0.49475440169429186,0.329922972785102,0.1149381955111451
32,0.4952444688330971,0.3298782772488064,0.11504717637537404
33,0.4957707726256161,0.32978280385335285,0.11516463011615218
34,0.49649100830705145,0.3297496159871419,0.11532716449131929
35,0.4974302163481589,0.3298940870496962,0.1155405903620015
36,0.4984206794390571,0.3302909639146593,0.1157659143207656
37,0.4980663633169732,0.33026565975613065,0.11567889764709993
38,0.497287279036958,0.3302892896864149,0.11549321558051627
39,0.49740060534360087,0.3307856241861979,0.1155147670892994
40,0.4987235837063237,0.33187857733832465,0.11581719860449838
41,0.5012213730346939,0.33356009589301217,0.11639241675148125
42,0.5042849987708851,0.33555480109320746,0.11709894600053629
43,0.5071804292825407,0.3374468485514323,0.11776637251727713
44,0.5096080785042146,0.3392086664835612,0.11832514094189933
45,0.5112929937373272,0.3405657662285699,0.11871143788154627
46,0.511605861335366,0.3411669413248698,0.11877918877585102
47,0.5103054210854231,0.3408758799235026,0.11847242209278012
48,0.5082824931751841,0.34013919830322265,0.11799797676739396
49,0.5059546342901065,0.33915642632378473,0.11745283791607704
50,0.5033177819281123,0.3377099778917101,0.1168360375547492
51,0.5005057849666152,0.3358566708034939,0.11617863159454545
52,0.4977931168630002,0.33382848103841145,0.11554429067808411
53,0.49557426801247706,0.3320143593682183,0.11502456462810057
54,0.49392984926753525,0.33054498036702473,0.11463809591768416
55,0.4926493420546586,0.32944562700059676,0.11433598959041648
56,0.49135568557751413,0.328609127468533,0.11403070862238517
57,0.49000723593422946,0.3279690212673611,0.1137125587861865
58,0.48930584774729874,0.3275517781575521,0.11354439955242436
59,0.48928793795171716,0.3274303224351671,0.11353465001198852
60,0.4897167267577889,0.32745594448513454,0.11362834709345492
61,0.49073808990551626,0.3275922563340929,0.11385933065816674
62,0.49222489472279163,0.3279925876193576,0.11419810386848678
63,0.4937383851564389,0.3284113778008355,0.11454284954214196
64,0.49493369757677247,0.328708987765842,0.1148135857989172
65,0.4956505532055948,0.3287282307942708,0.1149731667192648
66,0.49581520624444175,0.3285286797417535,0.11500449510311697
67,0.49528989101812715,0.3281050364176432,0.11487564094996164
68,0.4939523531732627,0.3274043189154731,0.11455828063281484
69,0.49195501632909777,0.3264595455593533,0.11408779872181292
70,0.4897284759297212,0.32540050082736544,0.11356408846653192
71,0.4876254710912527,0.32447200351291233,0.11306893299407149
72,0.4856226668157924,0.3235134972466363,0.11259696022790185
73,0.48361161212187953,0.32245352003309463,0.11212302310755422
74,0.481816096198641,0.3213054445054796,0.11169900434516124
75,0.48010083234427425,0.32017735375298395,0.1112935544278963
76,0.47844772583747275,0.3190980063544379,0.11090247617971291
77,0.4771340422354945,0.3180274327596029,0.11059003208172981
78,0.47652314237240495,0.31725917392306857,0.11044040928655947
79,0.476831734626274,0.3169687059190538,0.11050379398404189
80,0.47795872674770135,0.3170707278781467,0.11075669235040862
81,0.479556999997083,0.31750708685980905,0.11111864017822684
82,0.4813524233553897,0.31808653937445747,0.111526097274518
83,0.4832829240841968,0.31887315114339193,0.11196467119205902
84,0.48528909603187104,0.3196079678005642,0.11242059147399559
85,0.487128913689432,0.3204626295301649,0.11283780071278049
86,0.4885024672495499,0.3210552427503798,0.11314686302874914
87,0.4893929402135127,0.3213361104329427,0.11334389856252076
88,0.4900267412496556,0.3216371324327257,0.11348141914623548
89,0.4906459234248198,0.32189352247450087,0.11361552150113978
90,0.4914080225069053,0.32218282487657335,0.11378271470436441
91,0.49243493697639684,0.32274195353190105,0.11401121335210435
92,0.49378559826566326,0.3234767066107856,0.11431467755106592
93,0.49525931761756053,0.32420760260687936,0.11464665381988542
94,0.49659100939831197,0.3248927646213108,0.1149458087459259
95,0.4977960118481187,0.32542413075764975,0.11521573320138982
96,0.4991646039662228,0.3259972890218099,0.11552362616681272
97,0.5007636278913238,0.3267449273003472,0.11588495925602907
98,0.5023182848165769,0.32761785719129777,0.11623616607493095
99,0.5035572667112921,0.32847092946370443,0.11651447462324302
100,0.504458890774345,0.32927682664659286,0.11671490708998565
101,0.5053148714449095,0.330116335550944,0.1169049693324694
102,0.5060373118519307,0.33090108235677085,0.1170643308800827
103,0.5060075762905678,0.33134543100992836,0.11704989565494213
104,0.504634801674151,0.33112708197699653,0.11672500537679337
105,0.5018399610331966,0.3302249060736762,0.11607142788873943
106,0.49812265388918003,0.32875819736056855,0.11520477756980992
107,0.4945918807523337,0.3272372987535265,0.11438153938327728
108,0.4916684597866314,0.32616522047254776,0.11369899572783752
109,0.4895948476316657,0.3255376180013021,0.11321319579853176
110,0.4887280291046984,0.32564237382676864,0.11300661752176042
111,0.4891204160523225,0.32645263671875,0.11309131203197556
112,0.4900858579398811,0.32734576331244575,0.11330858335711388
113,0.49168044248775705,0.32841069963243275,0.11367135691251727
114,0.49382692749112134,0.3293696085611979,0.11416174348017127
115,0.4946400192500231,0.32973950703938804,0.11434387672354163
116,0.4934718039068545,0.32951569027370875,0.1140680360324771
117,0.49090695928359845,0.3283795674641927,0.11346940312130233
118,0.48869945198605813,0.32727983262803817,0.11295342257357449
119,0.487726420887719,0.3267904917399089,0.11272280519938718
120,0.48765189475308274,0.32681024339463977,0.11269982029859518
121,0.4880679004381427,0.3271582285563151,0.1127901868637857
122,0.4890218558737326,0.3280082490709093,0.1130048134561318
123,0.49031121005197986,0.329009034898546,0.11329687687657038
124,0.4915468490209693,0.32983033921983507,0.1135764563481749
125,0.4926067309367621,0.33033892313639324,0.11381537725224813
126,0.4931107515533666,0.3302639855278863,0.11392579673308835
127,0.4928903771658801,0.32964979807535805,0.11386882111605957
128,0.4923375999147006,0.3285503811306424,0.11373504194486195
129,0.49182834876342013,0.3273074679904514,0.11361131039712859
130,0.4915293442503948,0.32608981662326386,0.11353614549301691
131,0.49154626697580944,0.3253874037000868,0.11353399098236208
132,0.49149760987485513,0.3248730129665799,0.11351674304313167
133,0.4912059974969733,0.3242936028374566,0.11344347100430059
134,0.49068224789578957,0.32360187106662325,0.11331670280799229
135,0.4900358232823835,0.3229882346259223,0.11316177647207104
136,0.48942223461813295,0.3224871529473199,0.11301460526999178
