frame_index,rmse,mae,l2_loss
0,0.46746169896116596,0.32520196702745224,0.10868468636114278
1,0.46728948176804747,0.3249294704861111,0.10863953714410379
2,0.4669863377999835,0.3245101081000434,0.1085639241590881
3,0.46653786198650365,0.3239537556966146,0.10845447268001714
4,0.4659583711089431,0.3233311123318142,0.10831455625891846
5,0.4652416360713573,0.3227239608764648,0.10814272133990668
6,0.4644946186113016,0.3221644083658854,0.10796383412194163
7,0.46374182790734586,0.3217050340440538,0.10778363253768103
8,0.4631786510870381,0.32123692830403644,0.10764750660457365
9,0.46273159151279336,0.32089884016248915,0.10753838948736893
10,0.4623129343209547,0.32058308919270834,0.10743590339951159
11,0.4617902608201428,0.32017923990885416,0.10730929636381777
12,0.46131399407396284,0.319741694132487,0.10719355490636766
13,0.4611041613646172,0.3194256252712674,0.10713980167158349
14,0.4612363030003207,0.3193447536892361,0.10716558924885382
15,0.46162228624597695,0.31950444115532767,0.10725047062104347
16,0.46226823744813694,0.31992513868543837,0.10739583133792
17,0.46309449990473206,0.3204803466796875,0.10758316851332454
18,0.46420708946575207,0.32130179935031467,0.10783707493452842
19,0.46567463564033024,0.322444576687283,0.1081734747774068
20,0.46737122256315244,0.32368626064724393,0.10856308968583622
21,0.4689944837689075,0.32480330997043183,0.1089356813283228
22,0.47033676022931004,0.32563531663682727,0.10924298957236657
23,0.47135230076316914,0.326257578531901,0.10947439652937828
24,0.47204736701090855,0.32669317457411023,0.10963133508660332
25,0.4724603588557501,0.3268260743882921,0.1097227219384825
26,0.4727624582950711,0.3268634796142578,0.1097883182467532
27,0.47299487661786477,0.3267975277370877,0.10983772792308931
28,0.47322149325511664,0.3268668704562717,0.10988575551530637
29,0.4734280368822999,0.3271680619981554,0.1099291284375342
30,0.4733577514224371,0.3274895985921224,0.10990823147348752
31,0.4729594789639615,0.3275802188449436,0.10981120511180568
32,0.47228570149921256,0.32739115820990666,0.10965025370914822
33,0.47136023642212993,0.32679663764105904,0.1094309144676072
34,0.4704929528045881,0.32613487243652345,0.10922512039997384
35,0.46982253960710874,0.3254251268174913,0.10906509567052002
36,0.4697670985844314,0.3250719494289822,0.10904785871450773
37,0.4702467017969866,0.325261221991645,0.10915481892035729
38,0.47138192953890634,0.3258073382907444,0.10941390879462332
39,0.4729640270387031,0.3267393324110243,0.1097766466226417
40,0.47456570229449874,0.3276951683892144,0.11014379588428669
41,0.47611020274442245,0.32864244249131946,0.11049752133605353
42,0.4773693043884917,0.32952262030707463,0.11078483805476877
43,0.47838553184822147,0.33027464548746743,0.11101559104334029
44,0.47901878839330414,0.3308821572197808,0.11115726687684532
45,0.4789235700856823,0.3310224321153429,0.11112969622712354
46,0.478363270282435,0.3308361477322049,0.11099401907767938
47,0.4776558762418803,0.3304066552056207,0.11082404132173984
48,0.4770350713625737,0.3298716651068793,0.11067400534272848
