frame_index,rmse,mae,l2_loss
0,0.5254102486589766,0.3642328898111979,0.12225679984742041
1,0.5246168322746019,0.3638625250922309,0.1220681722862627
2,0.5240007447810943,0.3636028289794922,0.12192054299413808
3,0.5233744569078191,0.36321292453342013,0.12177032295116946
4,0.522513099356133,0.3624916076660156,0.1215652077319017
5,0.5214102842836427,0.36159884134928383,0.12130373005348635
6,0.5200181201483853,0.36054903666178384,0.12097480205519506
7,0.5184102571082305,0.35932138231065536,0.12059560023459451
8,0.5166453326342952,0.3580474853515625,0.12017978344171068
9,0.514835459607526,0.35673548380533854,0.1197534916906922
10,0.513308289317442,0.3556128607855903,0.11939291468259362
11,0.5119982654091805,0.35470360649956595,0.11908286373218822
12,0.511136353371593,0.3541634453667535,0.1188770375827307
13,0.5107853394905395,0.3541847229003906,0.11879003516292169
14,0.5110126778360589,0.35469724867078994,0.11883751593015605
15,0.5114904203275029,0.3554774390326606,0.11894322197779691
16,0.5120769874256114,0.3561604817708333,0.11907419022732953
17,0.5126687534456812,0.3565270317925347,0.11920634423956393
18,0.5134755760722849,0.35699530707465277,0.11938844444996899
19,0.5142391809473041,0.3573329077826606,0.11956043504756036
20,0.5153696577488305,0.35795021057128906,0.11981763609166819
21,0.5166296012462871,0.35847142537434895,0.12010487739807238
22,0.5175977377704367,0.3587203555636936,0.12032418863334705
23,0.5184328429774488,0.3590420616997613,0.12051253248978097
24,0.5193266578085314,0.3593571556939019,0.1207144711165946
25,0.5200959542581947,0.35971188015407984,0.12088741415541225
26,0.5206861160755063,0.359777577718099,0.12101871693525043
27,0.5207766285863659,0.35961473253038195,0.12103387199235112
28,0.5206685326836265,0.35929845174153646,0.12100288047871627
29,0.5201196485604352,0.3587281545003255,0.12086948075766622
30,0.5194646322551266,0.35824016994900176,0.12071147640529782
31,0.518901691446737,0.35784581502278645,0.12057496123602268
32,0.5183380983712178,0.3576494852701823,0.12043838618581476
33,0.51781121913189,0.35752525329589846,0.12031044403262803
34,0.5172367888158008,0.3573532952202691,0.12017160062643177
35,0.5167247206364093,0.3571643829345703,0.12004735876283876
36,0.5163836411557248,0.3569669511583116,0.11996296284108118
37,0.5161483010118546,0.3566983116997613,0.1199032162081
38,0.5161037906546859,0.3567459954155816,0.1198878704315533
39,0.5162273343919161,0.35673866271972654,0.11991160708294797
40,0.5165375825154769,0.3568505181206597,0.11997875333376931
41,0.5169729780935739,0.3570460425482856,0.120074972722815
42,0.5173342749727994,0.35716497633192273,0.12015398559615141
43,0.5176274625986819,0.3572172376844618,0.12021715143021426
44,0.5178280810222884,0.35732057359483504,0.12025878040551938
45,0.5182519853382856,0.3577773623996311,0.12035222530892867
46,0.5188687108264547,0.3583726247151693,0.12049043891357808
47,0.5196678039525287,0.35903053283691405,0.12067095444356445
48,0.5204787204255316,0.3596488952636719,0.12085421151533167
49,0.5208060295577612,0.3597698635525174,0.12092517652328273
50,0.5203612158711582,0.35923567877875434,0.12081688759770139
51,0.519051190918531,0.3579864501953125,0.12050776593825666
52,0.5172460281533421,0.3563993665907118,0.12008375228084997
53,0.5154560467358361,0.3547442118326823,0.11966331999238226
54,0.5140288749398407,0.3534759097629123,0.11932720058430168
55,0.512925027076229,0.3526405970255534,0.11906618418422664
56,0.5123523778674647,0.35217128329806857,0.11892849182317426
